,AAPL,GOOG,MSFT
2025-01-21 15:52:00+00:00,220.6999969482422,200.63999938964844,
2025-01-21 15:53:00+00:00,220.8300018310547,200.6300048828125,
2025-01-21 15:54:00+00:00,221.14500427246094,200.69500732421875,
2025-01-21 15:55:00+00:00,221.01739501953125,200.47999572753906,
2025-01-21 15:56:00+00:00,221.3300018310547,200.56500244140625,
2025-01-21 15:57:00+00:00,221.0780029296875,200.47000122070312,
2025-01-21 15:58:00+00:00,221.10989379882812,200.66000366210938,
2025-01-21 15:59:00+00:00,221.30999755859375,200.66000366210938,
2025-01-21 16:00:00+00:00,221.10499572753906,200.2899932861328,
2025-01-21 16:01:00+00:00,221.1300048828125,200.3300018310547,
2025-01-21 16:02:00+00:00,221.17999267578125,200.2550048828125,
2025-01-21 16:03:00+00:00,221.0977020263672,200.3800048828125,
2025-01-21 16:04:00+00:00,221.22999572753906,200.39999389648438,
2025-01-21 16:05:00+00:00,221.19479370117188,200.4499969482422,
2025-01-21 16:06:00+00:00,221.25999450683594,200.74009704589844,
2025-01-21 16:07:00+00:00,221.1699981689453,200.75,
2025-01-21 16:08:00+00:00,221.1649932861328,200.80999755859375,
2025-01-21 16:09:00+00:00,220.9600067138672,200.8300018310547,
2025-01-21 16:10:00+00:00,220.63999938964844,200.85499572753906,
2025-01-21 16:11:00+00:00,220.55209350585938,200.82000732421875,
2025-01-21 16:12:00+00:00,220.50999450683594,200.61000061035156,
2025-01-21 16:13:00+00:00,220.4149932861328,200.63999938964844,
2025-01-21 16:14:00+00:00,220.51980590820312,200.55999755859375,
2025-01-21 16:15:00+00:00,220.30880737304688,200.60000610351562,
2025-01-21 16:16:00+00:00,220.3350067138672,200.5850067138672,
2025-01-21 16:17:00+00:00,220.25,200.63999938964844,
2025-01-21 16:18:00+00:00,220.22999572753906,200.40499877929688,
2025-01-21 16:19:00+00:00,220.2700958251953,200.41099548339844,
2025-01-21 16:20:00+00:00,220.3699951171875,200.33999633789062,
2025-01-21 16:21:00+00:00,220.5,200.50990295410156,
2025-01-21 16:22:00+00:00,220.38499450683594,200.3249969482422,
2025-01-21 16:23:00+00:00,220.36000061035156,200.30999755859375,
2025-01-21 16:24:00+00:00,220.1363067626953,200.19000244140625,
2025-01-21 16:25:00+00:00,219.83999633789062,200.02000427246094,
2025-01-21 16:26:00+00:00,219.9510040283203,200.11199951171875,
2025-01-21 16:27:00+00:00,219.9499969482422,199.9600067138672,
2025-01-21 16:28:00+00:00,220.11000061035156,199.9600067138672,
2025-01-21 16:29:00+00:00,220.10780334472656,199.88999938964844,
2025-01-21 16:30:00+00:00,220.3699951171875,199.84500122070312,
2025-01-21 16:31:00+00:00,220.1699981689453,199.94000244140625,
2025-01-21 16:32:00+00:00,220.1300048828125,199.8800048828125,
2025-01-21 16:33:00+00:00,220.03199768066406,199.8000030517578,
2025-01-21 16:34:00+00:00,220.0500030517578,199.8000030517578,
2025-01-21 16:35:00+00:00,220.1199951171875,199.8000030517578,
2025-01-21 16:36:00+00:00,219.98500061035156,199.50010681152344,
2025-01-21 16:37:00+00:00,219.9199981689453,199.53500366210938,
2025-01-21 16:38:00+00:00,219.97000122070312,199.64500427246094,
2025-01-21 16:39:00+00:00,219.99000549316406,199.57000732421875,
2025-01-21 16:40:00+00:00,219.9600067138672,199.60000610351562,
2025-01-21 16:41:00+00:00,219.8800048828125,199.77000427246094,
2025-01-21 16:42:00+00:00,219.51499938964844,199.7899932861328,
2025-01-21 16:43:00+00:00,219.5399932861328,199.7100067138672,
2025-01-21 16:44:00+00:00,219.57020568847656,199.65499877929688,
2025-01-21 16:45:00+00:00,219.6999969482422,199.6407012939453,
2025-01-21 16:46:00+00:00,219.8300018310547,199.65499877929688,
2025-01-21 16:47:00+00:00,219.98989868164062,199.7899932861328,
2025-01-21 16:48:00+00:00,219.97500610351562,199.82000732421875,
2025-01-21 16:49:00+00:00,219.94500732421875,200.0399932861328,
2025-01-21 16:50:00+00:00,220.0,200.07000732421875,
2025-01-21 16:51:00+00:00,219.9929962158203,200.38999938964844,
2025-01-21 16:52:00+00:00,219.97999572753906,200.42999267578125,
2025-01-21 16:53:00+00:00,220.00999450683594,200.4199981689453,
2025-01-21 16:54:00+00:00,220.02499389648438,200.42999267578125,
2025-01-21 16:55:00+00:00,220.1302032470703,200.4949951171875,
2025-01-21 16:56:00+00:00,220.3675994873047,200.50999450683594,
2025-01-21 16:57:00+00:00,220.1387939453125,200.50999450683594,
2025-01-21 16:58:00+00:00,220.27650451660156,200.74000549316406,
2025-01-21 16:59:00+00:00,220.1699981689453,200.75,
2025-01-21 17:00:00+00:00,220.13999938964844,200.47999572753906,
2025-01-21 17:01:00+00:00,219.93069458007812,200.3820037841797,
2025-01-21 17:02:00+00:00,220.08999633789062,200.4600067138672,
2025-01-21 17:03:00+00:00,220.24989318847656,200.47999572753906,
2025-01-21 17:04:00+00:00,220.3907012939453,200.4600067138672,
2025-01-21 17:05:00+00:00,220.52000427246094,200.41720581054688,
2025-01-21 17:06:00+00:00,220.5749969482422,200.38999938964844,
2025-01-21 17:07:00+00:00,220.66029357910156,200.5,
2025-01-21 17:08:00+00:00,220.73500061035156,200.4600067138672,
2025-01-21 17:09:00+00:00,220.6699981689453,200.4199981689453,
2025-01-21 17:10:00+00:00,220.6699981689453,200.5,
2025-01-21 17:11:00+00:00,220.57000732421875,200.57000732421875,
2025-01-21 17:12:00+00:00,220.6300048828125,200.50999450683594,
